run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
7,8,4,ida,n/a,manhattan,gcompare,40,4000000000,0,ok,36,-1,246005,118831,0,0,36,0,704,0.000,7,99393,35,0.003460000
8,9,4,ida,n/a,manhattan,gcompare,40,4000000000,0,ok,26,-1,50064,23764,0,0,26,0,664,0.000,9,1661,25,0.000778000
9,10,4,ida,n/a,manhattan,gcompare,40,4000000000,0,ok,34,-1,89371,43202,0,0,34,0,696,0.000,6,35117,33,0.001309000
0,1,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,42,-1,1182245,387618,447653,16973,346974,734592,47973072,1.428,0,0,0,0.175852000
1,2,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,32,-1,29491,9554,10338,195,9599,19153,1572888,1.400,0,0,0,0.002315000
2,3,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,36,-1,42924,13989,15507,523,13428,27417,1966112,1.382,0,0,0,0.003395000
3,4,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,28,-1,8177,2632,2760,22,2785,5417,491528,1.184,0,0,0,0.000557000
4,5,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,48,-1,3301356,1095439,1296016,64381,909901,2005340,121505704,1.441,0,0,0,0.701350000
5,6,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,40,-1,84759,28064,31188,955,25507,53571,3539000,1.385,0,0,0,0.007739000
6,7,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,40,-1,292110,96761,110921,4532,84428,181189,12189880,1.420,0,0,0,0.027730000
7,8,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,38,-1,60127,19867,22019,664,18241,38108,2752552,1.380,0,0,0,0.004794000
8,9,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,34,-1,141959,46601,52724,1274,42634,89235,5898328,1.453,0,0,0,0.012027000
9,10,4,astar,fast,manhattan,gcompare,60,0,536870912,ok,38,-1,12329,4082,4286,81,3961,8043,491528,1.253,0,0,0,0.000829000
0,1,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,42,-1,8086358,3900540,0,0,42,0,728,0.000,9,5382963,41,0.114735000
1,2,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,32,-1,27293,13168,0,0,32,0,688,0.000,6,9280,31,0.000402000
2,3,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,36,-1,72290,33891,0,0,36,0,704,0.000,6,10604,35,0.001046000
3,4,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,28,-1,6172,2939,0,0,28,0,672,0.000,6,1621,27,0.000099000
4,5,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,48,-1,11961596,5877401,0,0,48,0,752,0.000,8,3408899,47,0.171622000
5,6,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,40,-1,108387,53510,0,0,40,0,720,0.000,7,14593,39,0.001569000
6,7,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,40,-1,728173,359789,0,0,40,0,720,0.000,9,144481,39,0.010400000
7,8,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,38,-1,180862,89001,0,0,38,0,712,0.000,6,103959,37,0.002522000
8,9,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,34,-1,605396,294623,0,0,34,0,696,0.000,9,447151,33,0.008527000
9,10,4,ida,n/a,manhattan,gcompare,60,4000000000,0,ok,38,-1,18096,8921,0,0,38,0,712,0.000,4,7304,37,0.000258000
0,1,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,44,-1,3270420,1078704,1267331,46962,924385,2003089,121505704,1.483,0,0,0,0.699143000
1,2,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,38,-1,237706,77855,87971,2652,71880,149735,10616984,1.454,0,0,0,0.021135000
2,3,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,44,-1,458963,150941,171576,6629,136446,287387,20447520,1.426,0,0,0,0.046551000
3,4,4,astar,fast,manhattan,gcompare,80,0,536870912,ok,38,-1,21934,7148,7658,171,7128,14276,983056,1.319,0,0,0,0.001570000
